Start_X,Start_Y,End_X,End_Y,Z_Base,Z_Top,Width,Depth,Floor_Level
6.520937442779541,1.3467525243759155,11.611636400222778,1.3467525243759155,2.65,3.0,0.25,0.35,2
6.520937442779541,1.3467525243759155,11.611636400222778,1.3467525243759155,5.45,5.8,0.25,0.35,3
6.520937442779541,1.3467525243759155,11.611636400222778,1.3467525243759155,1.15,1.5,0.25,0.35,2
6.520937442779541,1.3467525243759155,11.611636400222778,1.3467525243759155,2.4499999999999997,2.8,0.25,0.35,3
3.2604687213897705,3.831695556640625,3.2604687213897705,5.641730785369873,2.65,3.0,0.25,0.35,2
3.2604687213897705,3.831695556640625,3.2604687213897705,5.641730785369873,5.45,5.8,0.25,0.35,3
3.2604687213897705,3.831695556640625,3.2604687213897705,5.641730785369873,2.65,3.0,0.25,0.35,2
3.2604687213897705,3.831695556640625,3.2604687213897705,5.641730785369873,5.45,5.8,0.25,0.35,3
8.351167678833008,3.831695556640625,8.351167678833008,5.641730785369873,2.65,3.0,0.25,0.35,2
8.351167678833008,3.831695556640625,8.351167678833008,5.641730785369873,5.45,5.8,0.25,0.35,3
8.351167678833008,3.831695556640625,8.351167678833008,5.641730785369873,2.65,3.0,0.25,0.35,2
8.351167678833008,3.831695556640625,8.351167678833008,5.641730785369873,5.45,5.8,0.25,0.35,3
3.2604687213897705,3.831695556640625,8.351167678833008,3.831695556640625,2.65,3.0,0.25,0.35,2
3.2604687213897705,3.831695556640625,8.351167678833008,3.831695556640625,5.45,5.8,0.25,0.35,3
3.2604687213897705,3.831695556640625,8.351167678833008,3.831695556640625,2.65,3.0,0.25,0.35,2
3.2604687213897705,3.831695556640625,8.351167678833008,3.831695556640625,5.45,5.8,0.25,0.35,3
3.2604687213897705,5.641730785369873,8.351167678833008,5.641730785369873,2.65,3.0,0.25,0.35,2
3.2604687213897705,5.641730785369873,8.351167678833008,5.641730785369873,5.45,5.8,0.25,0.35,3
3.2604687213897705,5.641730785369873,8.351167678833008,5.641730785369873,2.65,3.0,0.25,0.35,2
3.2604687213897705,5.641730785369873,8.351167678833008,5.641730785369873,5.45,5.8,0.25,0.35,3
-2.560492515563965,1.9951889514923096,-2.560492515563965,4.971345901489258,2.65,3.0,0.25,0.35,2
-2.560492515563965,1.9951889514923096,-2.560492515563965,4.971345901489258,5.45,5.8,0.25,0.35,3
0.0,1.9951889514923096,0.0,4.971345901489258,2.65,3.0,0.25,0.35,2
0.0,1.9951889514923096,0.0,4.971345901489258,5.45,5.8,0.25,0.35,3
0.0,1.9951889514923096,0.0,4.971345901489258,2.65,3.0,0.25,0.35,2
0.0,1.9951889514923096,0.0,4.971345901489258,5.45,5.8,0.25,0.35,3
-2.560492515563965,1.9951889514923096,0.0,1.9951889514923096,2.65,3.0,0.25,0.35,2
-2.560492515563965,1.9951889514923096,0.0,1.9951889514923096,5.45,5.8,0.25,0.35,3
-2.560492515563965,4.971345901489258,0.0,4.971345901489258,2.65,3.0,0.25,0.35,2
-2.560492515563965,4.971345901489258,0.0,4.971345901489258,5.45,5.8,0.25,0.35,3
-1.7790435552597046,4.971345901489258,0.0,4.971345901489258,2.65,3.0,0.25,0.35,2
-1.7790435552597046,4.971345901489258,0.0,4.971345901489258,5.45,5.8,0.25,0.35,3
1.2679941654205322,6.841569900512695,1.2679941654205322,10.458905220031738,2.65,3.0,0.25,0.35,2
1.2679941654205322,6.841569900512695,1.2679941654205322,10.458905220031738,5.45,5.8,0.25,0.35,3
1.2679941654205322,6.841569900512695,1.2679941654205322,10.458905220031738,2.65,3.0,0.25,0.35,2
1.2679941654205322,6.841569900512695,1.2679941654205322,10.458905220031738,5.45,5.8,0.25,0.35,3
3.2604687213897705,6.841569900512695,3.2604687213897705,8.650237083435059,2.65,3.0,0.25,0.35,2
3.2604687213897705,6.841569900512695,3.2604687213897705,8.650237083435059,5.45,5.8,0.25,0.35,3
3.2604687213897705,6.841569900512695,3.2604687213897705,10.458905220031738,2.65,3.0,0.25,0.35,2
3.2604687213897705,6.841569900512695,3.2604687213897705,10.458905220031738,5.45,5.8,0.25,0.35,3
1.2679941654205322,6.841569900512695,3.2604687213897705,6.841569900512695,2.65,3.0,0.25,0.35,2
1.2679941654205322,6.841569900512695,3.2604687213897705,6.841569900512695,5.45,5.8,0.25,0.35,3
1.2679941654205322,6.841569900512695,3.2604687213897705,6.841569900512695,2.65,3.0,0.25,0.35,2
1.2679941654205322,6.841569900512695,3.2604687213897705,6.841569900512695,5.45,5.8,0.25,0.35,3
1.2679941654205322,10.458905220031738,3.2604687213897705,10.458905220031738,2.65,3.0,0.25,0.35,2
1.2679941654205322,10.458905220031738,3.2604687213897705,10.458905220031738,5.45,5.8,0.25,0.35,3
11.611636400222778,1.3467525243759155,11.611636400222778,3.831695556640625,2.65,3.0,0.25,0.35,2
11.611636400222778,1.3467525243759155,11.611636400222778,3.831695556640625,5.45,5.8,0.25,0.35,3
11.611636400222778,1.3467525243759155,11.611636400222778,3.831695556640625,1.8741449761049727,2.2241449761049727,0.25,0.35,2
11.611636400222778,1.3467525243759155,11.611636400222778,3.831695556640625,3.8982899522099452,4.248289952209945,0.25,0.35,3
14.037456035614014,1.3467525243759155,14.037456035614014,3.831695556640625,1.8741449761049727,2.2241449761049727,0.25,0.35,2
14.037456035614014,1.3467525243759155,14.037456035614014,3.831695556640625,3.8982899522099452,4.248289952209945,0.25,0.35,3
11.611636400222778,1.3467525243759155,14.037456035614014,1.3467525243759155,1.8741449761049727,2.2241449761049727,0.25,0.35,2
11.611636400222778,1.3467525243759155,14.037456035614014,1.3467525243759155,3.8982899522099452,4.248289952209945,0.25,0.35,3
11.611636400222778,3.831695556640625,14.037456035614014,3.831695556640625,1.8741449761049727,2.2241449761049727,0.25,0.35,2
11.611636400222778,3.831695556640625,14.037456035614014,3.831695556640625,3.8982899522099452,4.248289952209945,0.25,0.35,3
-1.7790435552597046,4.971345901489258,-1.7790435552597046,6.841569900512695,2.65,3.0,0.25,0.35,2
-1.7790435552597046,4.971345901489258,-1.7790435552597046,6.841569900512695,5.45,5.8,0.25,0.35,3
0.0,4.971345901489258,0.0,6.841569900512695,2.65,3.0,0.25,0.35,2
0.0,4.971345901489258,0.0,6.841569900512695,5.45,5.8,0.25,0.35,3
0.0,4.971345901489258,0.0,6.841569900512695,2.65,3.0,0.25,0.35,2
0.0,4.971345901489258,0.0,6.841569900512695,5.45,5.8,0.25,0.35,3
-1.7790435552597046,4.971345901489258,0.0,4.971345901489258,2.65,3.0,0.25,0.35,2
-1.7790435552597046,4.971345901489258,0.0,4.971345901489258,5.45,5.8,0.25,0.35,3
-1.7790435552597046,4.971345901489258,0.0,4.971345901489258,2.65,3.0,0.25,0.35,2
-1.7790435552597046,4.971345901489258,0.0,4.971345901489258,5.45,5.8,0.25,0.35,3
-1.7790435552597046,6.841569900512695,0.0,6.841569900512695,2.65,3.0,0.25,0.35,2
-1.7790435552597046,6.841569900512695,0.0,6.841569900512695,5.45,5.8,0.25,0.35,3
-1.7790435552597046,6.841569900512695,0.0,6.841569900512695,2.65,3.0,0.25,0.35,2
-1.7790435552597046,6.841569900512695,0.0,6.841569900512695,5.45,5.8,0.25,0.35,3
